1, 1597, 21794, 6288.747475, 46.13%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6284.756667, 46.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6354.547855, 46.86%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6359.888889, 47.06%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6354.067961, 47.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6386.076923, 47.44%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6443.282540, 47.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6406.248428, 47.48%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6408.909657, 47.66%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6441.348765, 47.84%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6465.391437, 48.32%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6443.948485, 48.18%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6463.813814, 48.35%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6474.598214, 48.21%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6495.778761, 48.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6524.333333, 48.83%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6548.304348, 49.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6563.146552, 49.71%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6563.307692, 49.86%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6561.480226, 50.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6541.647059, 49.58%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6610.116667, 50.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6599.126722, 50.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6599.150273, 50.27%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6584.523035, 50.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6573.295699, 50.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6571.472000, 50.13%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6554.698413, 50.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6573.729659, 50.13%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6583.471354, 50.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6589.801034, 50.39%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6570.435897, 50.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6572.778626, 50.64%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6585.537879, 50.51%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6600.588972, 50.88%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6594.614428, 51.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6589.876543, 51.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 6597.237745, 51.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
